team_id,team_name,league_name
1730,Augsburg,Bundesliga
36,Bayer Leverkusen,Bundesliga
37,Bayern Munich,Bundesliga
44,Borussia Dortmund,Bundesliga
134,Borussia M.Gladbach,Bundesliga
1147,Darmstadt,Bundesliga
45,Eintracht Frankfurt,Bundesliga
282,FC Cologne,Bundesliga
38,Hamburger SV,Bundesliga
110,Hannover 96,Bundesliga
47,Hertha Berlin,Bundesliga
1211,Hoffenheim,Bundesliga
3429,Ingolstadt,Bundesliga
219,Mainz 05,Bundesliga
39,Schalke 04,Bundesliga
41,VfB Stuttgart,Bundesliga
42,Werder Bremen,Bundesliga
33,Wolfsburg,Bundesliga
